datetime,Open,High,Low,Close,Volume,avg_prices,sma_close
2025-04-15 12:40:00,766.95,767.0,766.55,766.55,8297,766.7625,766.97
2025-04-15 12:41:00,766.55,766.75,765.9,766.55,90300,766.4375,766.8399999999999
2025-04-15 12:42:00,766.55,766.85,766.05,766.1,26035,766.3874999999999,766.63
2025-04-15 12:43:00,766.2,766.25,766.1,766.15,12765,766.1750000000001,766.46
2025-04-15 12:44:00,766.15,766.25,765.8,766.0,17441,766.05,766.27
2025-04-15 12:45:00,766.0,766.0,765.65,765.7,11711,765.8375000000001,766.1
2025-04-15 12:46:00,765.7,766.0,765.65,765.65,11374,765.75,765.92
2025-04-15 12:47:00,765.8,766.0,765.65,765.9,11264,765.8375,765.88
2025-04-15 12:48:00,765.8,765.85,765.5,765.65,10756,765.7,765.78
2025-04-15 12:49:00,765.65,765.85,765.5,765.85,8970,765.7125,765.75
2025-04-15 12:50:00,765.75,765.95,765.65,765.75,7440,765.775,765.76
2025-04-15 12:51:00,765.8,765.8,765.5,765.65,7244,765.6875,765.76
2025-04-15 12:52:00,765.5,765.7,765.5,765.5,6015,765.55,765.68
2025-04-15 12:53:00,765.55,765.6,765.1,765.45,48670,765.425,765.6400000000001
2025-04-15 12:54:00,765.5,765.5,765.2,765.25,21158,765.3625,765.52
2025-04-15 12:55:00,765.25,765.4,765.2,765.3,5214,765.2875000000001,765.43
2025-04-15 12:56:00,765.3,765.6,765.3,765.5,9452,765.425,765.4
2025-04-15 12:57:00,765.6,765.65,764.9,765.35,104470,765.375,765.3700000000001
2025-04-15 12:58:00,765.35,765.35,765.0,765.15,9524,765.2125,765.3100000000001
2025-04-15 12:59:00,765.2,765.3,765.05,765.05,12553,765.1500000000001,765.27
2025-04-15 13:00:00,765.15,765.2,765.0,765.1,12614,765.1125,765.23
2025-04-15 13:01:00,765.2,765.35,765.1,765.25,6412,765.225,765.18
2025-04-15 13:02:00,765.25,765.35,765.25,765.25,5907,765.275,765.16
2025-04-15 13:03:00,765.3,765.3,765.15,765.3,3943,765.2625,765.1899999999999
2025-04-15 13:04:00,765.3,765.3,765.1,765.25,7954,765.2375,765.23
2025-04-15 13:05:00,765.2,765.3,765.15,765.15,4592,765.2,765.24
2025-04-15 13:06:00,765.25,765.55,765.1,765.25,19675,765.2875,765.24
2025-04-15 13:07:00,765.3,765.35,765.1,765.1,7658,765.2125,765.21
2025-04-15 13:08:00,765.15,765.35,765.15,765.15,5833,765.2,765.18
2025-04-15 13:09:00,765.15,765.35,765.15,765.2,15332,765.2125000000001,765.17
2025-04-15 13:10:00,765.25,765.35,765.05,765.1,7760,765.1874999999999,765.16
2025-04-15 13:11:00,765.1,765.1,764.85,765.0,12671,765.0125,765.11
2025-04-15 13:12:00,765.1,765.2,765.0,765.0,5528,765.075,765.0899999999999
2025-04-15 13:13:00,765.05,765.1,764.4,765.05,29129,764.9000000000001,765.07
2025-04-15 13:14:00,765.1,765.1,764.7,764.75,7005,764.9125,764.98
2025-04-15 13:15:00,764.8,765.1,764.7,765.1,11434,764.9250000000001,764.98
2025-04-15 13:16:00,765.1,765.2,765.0,765.05,9495,765.0875000000001,764.99
2025-04-15 13:17:00,765.15,765.3,765.05,765.15,5912,765.1625,765.02
2025-04-15 13:18:00,765.15,765.4,765.1,765.1,5746,765.1875,765.03
2025-04-15 13:19:00,765.1,765.1,764.9,765.0,12268,765.025,765.0799999999999
2025-04-15 13:20:00,765.0,765.1,764.95,765.05,4441,765.0250000000001,765.0699999999999
2025-04-15 13:21:00,765.1,765.3,764.95,765.3,16250,765.1625000000001,765.1200000000001
2025-04-15 13:22:00,765.3,765.45,764.9,765.1,16445,765.1875,765.11
2025-04-15 13:23:00,765.2,765.4,765.0,765.0,12088,765.15,765.0899999999999
2025-04-15 13:24:00,765.1,765.35,764.9,764.95,10844,765.075,765.0799999999999
2025-04-15 13:25:00,764.95,765.5,764.95,765.25,3637,765.1625,765.12
2025-04-15 13:26:00,765.5,765.75,765.15,765.2,13206,765.4000000000001,765.1000000000001
2025-04-15 13:27:00,765.4,765.9,765.35,765.8,12930,765.6125,765.24
2025-04-15 13:28:00,765.7,766.0,765.55,765.85,27302,765.775,765.4100000000001
2025-04-15 13:29:00,765.95,766.0,765.7,765.75,12058,765.85,765.57
2025-04-15 13:30:00,765.8,765.85,765.3,765.55,9334,765.625,765.63
2025-04-15 13:31:00,765.6,765.75,765.1,765.15,9939,765.4,765.62
2025-04-15 13:32:00,765.15,765.75,765.1,765.75,10181,765.4375,765.61
2025-04-15 13:33:00,765.65,765.9,765.4,765.85,7226,765.6999999999999,765.6099999999999
2025-04-15 13:34:00,765.85,765.95,765.3,765.5,8674,765.6500000000001,765.5600000000001
2025-04-15 13:35:00,765.55,765.65,765.25,765.4,5973,765.4625,765.53
2025-04-15 13:36:00,765.4,765.65,764.5,764.7,37993,765.0625,765.4399999999999
2025-04-15 13:37:00,764.75,764.9,764.55,764.75,10460,764.7375,765.24
2025-04-15 13:38:00,764.8,765.0,764.75,764.85,18346,764.85,765.04
2025-04-15 13:39:00,764.95,765.0,764.7,765.0,6507,764.9125,764.9399999999999
2025-04-15 13:40:00,765.0,765.0,764.85,764.9,7579,764.9375,764.8399999999999
2025-04-15 13:41:00,765.0,765.0,764.85,765.0,7141,764.9625,764.9
2025-04-15 13:42:00,765.0,765.75,764.9,765.4,114953,765.2625,765.03
2025-04-15 13:43:00,765.4,765.85,765.4,765.5,8041,765.5375,765.1600000000001
2025-04-15 13:44:00,765.5,765.65,765.25,765.35,13761,765.4375,765.23
2025-04-15 13:45:00,765.4,765.9,764.8,764.85,40960,765.2375,765.22
2025-04-15 13:46:00,764.85,765.0,764.6,765.0,31209,764.8625,765.22
2025-04-15 13:47:00,764.95,765.0,764.55,764.65,25712,764.7875,765.0699999999999
2025-04-15 13:48:00,764.75,765.0,764.55,764.85,35172,764.7875,764.9399999999999
2025-04-15 13:49:00,764.85,765.0,764.6,764.6,12860,764.7624999999999,764.7900000000001
2025-04-15 13:50:00,764.65,765.0,764.6,764.8,5657,764.7625,764.78
2025-04-15 13:51:00,764.9,765.0,764.5,764.65,24312,764.7625,764.7099999999999
2025-04-15 13:52:00,764.75,765.0,764.75,764.85,4108,764.8375,764.75
2025-04-15 13:53:00,764.9,765.0,764.85,764.9,3584,764.9125,764.76
2025-04-15 13:54:00,765.0,765.0,764.85,764.85,6176,764.925,764.81
2025-04-15 13:55:00,764.9,765.0,764.8,764.85,11097,764.8874999999999,764.82
2025-04-15 13:56:00,764.9,765.0,764.85,765.0,8951,764.9375,764.89
2025-04-15 13:57:00,764.9,765.0,764.8,764.85,6240,764.8874999999999,764.8900000000001
2025-04-15 13:58:00,764.9,765.0,764.8,764.8,4750,764.875,764.87
2025-04-15 13:59:00,764.95,765.0,764.75,764.95,5362,764.9124999999999,764.8900000000001
2025-04-15 14:00:00,764.85,765.0,764.7,764.85,11306,764.85,764.8900000000001
2025-04-15 14:01:00,764.8,765.0,764.8,764.8,12236,764.8499999999999,764.85
2025-04-15 14:02:00,764.85,765.0,764.7,764.95,6592,764.875,764.87
2025-04-15 14:03:00,764.95,765.0,764.7,764.7,16399,764.8375000000001,764.85
2025-04-15 14:04:00,764.7,765.0,764.7,765.0,5549,764.85,764.86
2025-04-15 14:05:00,765.0,765.0,764.7,764.9,18668,764.9,764.87
2025-04-15 14:06:00,764.95,765.0,764.75,764.9,4527,764.9,764.8900000000001
2025-04-15 14:07:00,765.0,765.0,764.6,764.95,56203,764.8875,764.89
2025-04-15 14:08:00,765.0,765.9,764.85,765.6,50687,765.3375,765.07
2025-04-15 14:09:00,765.65,765.95,765.1,765.2,15468,765.4749999999999,765.11
2025-04-15 14:10:00,765.4,765.65,765.05,765.1,13450,765.3,765.15
2025-04-15 14:11:00,765.05,765.35,764.65,764.7,19770,764.9375,765.11
2025-04-15 14:12:00,764.7,765.25,764.7,765.2,15673,764.9625000000001,765.1600000000001
2025-04-15 14:13:00,765.25,765.55,764.85,764.85,23928,765.125,765.01
2025-04-15 14:14:00,764.95,765.35,764.85,765.2,11251,765.0875000000001,765.01
2025-04-15 14:15:00,765.15,765.35,764.85,765.05,21924,765.0999999999999,765.0
2025-04-15 14:16:00,765.05,765.35,764.9,764.9,14325,765.0500000000001,765.04
2025-04-15 14:17:00,765.0,765.0,764.55,764.65,12778,764.8000000000001,764.9300000000001
2025-04-15 14:18:00,764.7,764.9,764.6,764.65,13637,764.7125,764.89
2025-04-15 14:19:00,764.7,765.15,764.65,765.05,11332,764.8875,764.86
2025-04-15 14:20:00,765.15,765.3,764.7,764.7,14486,764.9624999999999,764.79
2025-04-15 14:21:00,764.7,765.0,764.65,764.75,7954,764.775,764.76
2025-04-15 14:22:00,764.75,765.0,764.3,764.8,29717,764.7125000000001,764.79
2025-04-15 14:23:00,764.95,765.3,764.85,765.05,11493,765.0374999999999,764.87
2025-04-15 14:24:00,764.95,765.1,764.5,764.85,21811,764.85,764.83
2025-04-15 14:25:00,765.0,765.2,764.7,765.05,12919,764.9875,764.9
2025-04-15 14:26:00,765.1,765.35,765.1,765.3,9491,765.2125000000001,765.01
2025-04-15 14:27:00,765.2,765.2,764.9,765.0,12856,765.075,765.05
2025-04-15 14:28:00,765.05,765.25,765.0,765.2,9428,765.125,765.08
2025-04-15 14:29:00,765.25,765.35,764.95,765.15,16823,765.1750000000001,765.14
2025-04-15 14:30:00,765.15,765.2,764.8,764.9,21370,765.0124999999999,765.1099999999999
2025-04-15 14:31:00,764.95,765.05,764.6,764.65,12758,764.8125,764.98
2025-04-15 14:32:00,764.9,765.2,764.65,765.0,11162,764.9375,764.98
2025-04-15 14:33:00,764.9,764.95,764.5,764.5,17496,764.7125,764.8399999999999
2025-04-15 14:34:00,764.6,764.8,764.3,764.75,18571,764.6125,764.76
2025-04-15 14:35:00,764.75,764.9,764.45,764.55,12826,764.6625000000001,764.6899999999999
2025-04-15 14:36:00,764.65,764.75,764.25,764.5,18470,764.5375,764.6600000000001
2025-04-15 14:37:00,764.55,764.8,764.4,764.7,16796,764.6125,764.6
2025-04-15 14:38:00,764.7,764.75,764.5,764.5,18931,764.6125,764.6
